bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso est 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso ovest 
bob si sposta di 10 metri verso sud 
bob si sposta di 10 metri verso nord 
bob si sposta di 10 metri verso nord 
